ID_Vivienda,Tipo_Vivienda,Barrio,Tipo_Tarifa,Periodo_Inicio,Periodo_Fin,Coste_Potencia_EUR,Consumo_Punta_kWh,Consumo_Valle_kWh,Precio_kWh,Importe_Total_EUR
001,Apartamento,Triana,tramos,2023-01-01,2023-01-31,49.73,101.33,94.57,0.26/0.13,88.37
001,Apartamento,Triana,tramos,2023-02-01,2023-02-28,49.73,106.0,96.95,0.30/0.11,92.19
001,Apartamento,Triana,tramos,2023-03-01,2023-03-31,49.73,110.97,82.22,0.24/0.10,84.59
001,Apartamento,Triana,tramos,2023-04-01,2023-04-30,49.73,108.49,102.98,0.21/0.11,83.84
001,Apartamento,Triana,tramos,2023-05-01,2023-05-31,49.73,120.85,85.91,0.27/0.14,94.39
001,Apartamento,Triana,tramos,2023-06-01,2023-06-30,49.73,89.1,117.87,0.21/0.15,86.12
001,Apartamento,Triana,tramos,2023-07-01,2023-07-31,49.73,106.54,97.82,0.23/0.15,88.91
001,Apartamento,Triana,tramos,2023-08-01,2023-08-31,49.73,110.18,91.14,0.18/0.12,80.5
001,Apartamento,Triana,tramos,2023-09-01,2023-09-30,49.73,123.76,87.76,0.17/0.18,86.57
001,Apartamento,Triana,tramos,2023-10-01,2023-10-31,49.73,85.31,116.54,0.30/0.16,93.97
001,Apartamento,Triana,tramos,2023-11-01,2023-11-30,49.73,120.67,91.86,0.28/0.14,96.38
001,Apartamento,Triana,tramos,2023-12-01,2023-12-31,49.73,114.1,81.22,0.26/0.15,91.58
002,Casa,Nervión,única,2023-01-01,2023-01-31,56.93,114.32,112.61,0.20,102.32
002,Casa,Nervión,única,2023-02-01,2023-02-28,56.93,106.21,115.15,0.17,94.56
002,Casa,Nervión,única,2023-03-01,2023-03-31,56.93,98.37,112.26,0.19,96.95
002,Casa,Nervión,única,2023-04-01,2023-04-30,56.93,90.45,135.15,0.25,113.33
002,Casa,Nervión,única,2023-05-01,2023-05-31,56.93,103.7,112.51,0.14,87.2
002,Casa,Nervión,única,2023-06-01,2023-06-30,56.93,128.64,91.65,0.16,92.18
002,Casa,Nervión,única,2023-07-01,2023-07-31,56.93,101.61,114.86,0.15,89.4
002,Casa,Nervión,única,2023-08-01,2023-08-31,56.93,110.0,114.29,0.15,90.57
002,Casa,Nervión,única,2023-09-01,2023-09-30,56.93,104.98,109.05,0.26,112.58
002,Casa,Nervión,única,2023-10-01,2023-10-31,56.93,92.43,119.92,0.24,107.9
002,Casa,Nervión,única,2023-11-01,2023-11-30,56.93,106.19,113.31,0.21,103.03
002,Casa,Nervión,única,2023-12-01,2023-12-31,56.93,107.65,120.19,0.15,91.11
003,Apartamento,Sur,única,2023-01-01,2023-01-31,73.87,125.16,112.58,0.20,121.42
003,Apartamento,Sur,única,2023-02-01,2023-02-28,73.87,120.6,105.79,0.17,112.36
003,Apartamento,Sur,única,2023-03-01,2023-03-31,73.87,136.03,93.66,0.19,117.51
003,Apartamento,Sur,única,2023-04-01,2023-04-30,73.87,110.64,118.46,0.25,131.15
003,Apartamento,Sur,única,2023-05-01,2023-05-31,73.87,136.56,91.28,0.14,105.77
003,Apartamento,Sur,única,2023-06-01,2023-06-30,73.87,122.59,113.58,0.16,111.66
003,Apartamento,Sur,única,2023-07-01,2023-07-31,73.87,125.11,102.36,0.15,107.99
003,Apartamento,Sur,única,2023-08-01,2023-08-31,73.87,133.5,96.83,0.15,108.42
003,Apartamento,Sur,única,2023-09-01,2023-09-30,73.87,100.87,129.36,0.26,133.73
003,Apartamento,Sur,única,2023-10-01,2023-10-31,73.87,112.16,114.7,0.24,128.32
003,Apartamento,Sur,única,2023-11-01,2023-11-30,73.87,98.09,139.34,0.21,123.73
003,Apartamento,Sur,única,2023-12-01,2023-12-31,73.87,118.56,123.08,0.15,110.12
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-01-01,2023-01-31,54.4,91.53,95.98,0.26/0.13,90.68
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-02-01,2023-02-28,54.4,94.72,90.31,0.30/0.11,92.75
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-03-01,2023-03-31,54.4,78.6,101.52,0.24/0.10,83.42
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-04-01,2023-04-30,54.4,114.46,79.8,0.21/0.11,87.21
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-05-01,2023-05-31,54.4,83.78,100.7,0.27/0.14,91.12
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-06-01,2023-06-30,54.4,91.48,98.42,0.21/0.15,88.37
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-07-01,2023-07-31,54.4,76.56,100.97,0.23/0.15,87.15
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-08-01,2023-08-31,54.4,101.75,89.59,0.18/0.12,83.47
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-09-01,2023-09-30,54.4,78.91,98.65,0.17/0.18,85.57
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-10-01,2023-10-31,54.4,97.07,84.58,0.30/0.16,97.05
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-11-01,2023-11-30,54.4,74.66,102.75,0.28/0.14,89.69
004,Apartamento,Este-Alcosa-Torreblanca,tramos,2023-12-01,2023-12-31,54.4,84.1,108.92,0.26/0.15,92.6
005,Apartamento,Sur,única,2023-01-01,2023-01-31,65.87,73.46,90.65,0.20,98.69
005,Apartamento,Sur,única,2023-02-01,2023-02-28,65.87,68.66,84.38,0.17,91.89
005,Apartamento,Sur,única,2023-03-01,2023-03-31,65.87,94.52,70.97,0.19,97.31
005,Apartamento,Sur,única,2023-04-01,2023-04-30,65.87,80.38,87.27,0.25,107.78
005,Apartamento,Sur,única,2023-05-01,2023-05-31,65.87,72.51,91.91,0.14,88.89
005,Apartamento,Sur,única,2023-06-01,2023-06-30,65.87,90.89,66.02,0.16,90.98
005,Apartamento,Sur,única,2023-07-01,2023-07-31,65.87,63.11,88.2,0.15,88.57
005,Apartamento,Sur,única,2023-08-01,2023-08-31,65.87,62.91,92.3,0.15,89.15
005,Apartamento,Sur,única,2023-09-01,2023-09-30,65.87,79.91,74.77,0.26,106.09
005,Apartamento,Sur,única,2023-10-01,2023-10-31,65.87,92.26,67.21,0.24,104.14
005,Apartamento,Sur,única,2023-11-01,2023-11-30,65.87,78.4,89.0,0.21,101.02
005,Apartamento,Sur,única,2023-12-01,2023-12-31,65.87,74.36,81.88,0.15,89.31
006,Casa,Sur,tramos,2023-01-01,2023-01-31,46.0,187.73,226.12,0.26/0.13,124.2
